Address,City,Price,Bedrooms,Bathrooms,Amenities,Listing URL
"6217 Wyoming Ave, New Port Richey, FL, 34653, US",New Port Richey,1600,2,2,"dishwasher, ensuite_washer, ensuite_dryer, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/67db3ea3851e698a76497061
"17668 Nectar Flume Dr, Land O Lakes, FL, 34638, US",Land O Lakes,2095,3,2,"dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, parking, pets",https://mynd.rhenti.com/#/property/67ef23b39f008a8d814e41ee
"10121 Celtic Ash Dr, Ruskin, FL, 33573, US",Ruskin,2195,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6807e2b92a45d45e1ee175c8
"3217 Spooner Dr, Plant City, FL, 33563, US",Plant City,2095,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/68113aca8bf4162f52a0816d
"604 Chilt Dr, Brandon, FL, 33510, US",Brandon,2075,3,2,"dishwasher, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/68113bb68bf4162f52a0e17a
"6785 Branham Mill Ct, Zephyrhills, FL, 33542, US",Zephyrhills,2325,4,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/68127efdf0213f24d8f10629
"2916 N 9th St, Tampa, FL, 33605, US",Tampa,2175,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6815442b996245ed7af0af05
"36813 Yesler Dr, Zephyrhills, FL, 33542, US",Zephyrhills,2049,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/681ef3ee1b07f62947c78b7b
"9707 Paces Ferry Dr, Tampa, FL, 33615, US",Tampa,2499,4,2,"dishwasher, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/682663f73a046fb27c41569e
"3719 136th Ave N Unit A, Largo, FL, 33771, US",Largo,1465,2,1,"dishwasher, ensuite_washer, ensuite_dryer, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/682cc343d244bdcca20392c0
"2530 Chapel Oak Bnd, Wesley Chapel, FL, 33543, US",Wesley Chapel,3475,4,3,"pool, dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/682e153453533005888a80b0
"1328 Maximillian Dr, Wesley Chapel, FL, 33543, US",Wesley Chapel,2299,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/682e69abdc2b3825bd23a090
"6505 Trent Creek Dr, Ruskin, FL, 33573, US",Ruskin,1995,3,2,"dishwasher, microwave, fridge, parking, pets",https://mynd.rhenti.com/#/property/682f9eaea5fed1f5df0c9a81
"2904 N Massachusetts Ave, Tampa, FL, 33602, US",Tampa,2595,3,2,"dishwasher, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/683209402124cacd4d008125
"6975 Faben Ln, Zephyrhills, FL, 33542, US",Zephyrhills,2325,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/684721823a9247067d4bfe2d
"1651 Bonita Bluff Ct, Ruskin, FL, 33570, US",Ruskin,2375,4,2,"dishwasher, fridge, parking, pets",https://mynd.rhenti.com/#/property/684873786dd0be65dbb67f8b
"34948 Long Island Ct, Zephyrhills, FL, 33541, US",Zephyrhills,2199,3,2,"fridge, pets",https://mynd.rhenti.com/#/property/6848aafa149d2e761345b2d0
"14 Lamplight Ln SE, Winter Haven, FL, 33884, US",Winter Haven,1825,3,2,"ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/65b43b8e98707c00f603e609
"1339 Primrose Ct, Lakeland, FL, 33811, US",Lakeland,1985,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6622964526a2c7002d7d7b25
"829 E Orange St Unit 2, Lakeland, FL, 33801, US",Lakeland,1795,3,2,"dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking",https://mynd.rhenti.com/#/property/67e1d628d09c8abf1bb99731
"530 Delido Way, Kissimmee, FL, 34758, US",Kissimmee,1969,3,2,"dishwasher, microwave, fridge, parking, pets",https://mynd.rhenti.com/#/property/6802810ac9ae782d982dd81f
"2640 Eagle Meadow Ln, Kissimmee, FL, 34746, US",Kissimmee,2349,4,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/68096ae510cf6adf337b4984
"809 Toledo Ct, Kissimmee, FL, 34758, US",Kissimmee,1949,4,2,"fridge, parking, pets",https://mynd.rhenti.com/#/property/68154326996245ed7af04c91
"1829 Brockridge Rd, Kindred, FL, 34744, US",Kindred,2349,3,2,"dishwasher, microwave, fridge, air_conditioner, pets",https://mynd.rhenti.com/#/property/6835e1e50c0de227b1186d8d
"4830 Fort Dodge St, Orlando, FL, 32822, US",Orlando,2249,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6837334a38dbf92be2273e64
"8727 Key Windy Way Unit 2, Converse, TX, 78109, US",Converse,1475,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/65f9cc22e9fdbd002e3ab8cc
"9007 Lunar Cv, San Antonio, TX, 78252, US",San Antonio,1775,4,2,"dishwasher, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/65f9ced5e9fdbd002e3abe03
"118 E Myrtle St, San Antonio, TX, 78212, US",San Antonio,1545,2,1,"dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/67d9d1496e481bfb760f47f8
"6614 Estes Flats, San Antonio, TX, 78242, US",San Antonio,1599,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/67fda19f9705a3aed06c0d53
"12061 Latour Valley, San Antonio, TX, 78252, US",San Antonio,1695,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/680fdf179b3edcc58e03cf55
"3927 Key West Way, Converse, TX, 78109, US",Converse,1999,3,2,"dishwasher, microwave, fridge, balcony, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6812ba843da254e5491e08a6
"6022 State St Unit 104, San Antonio, TX, 78223, US",San Antonio,1295,3,1,"fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6813d325df3b65e5f46b946d
"707 Wild Olive Way, San Antonio , TX, 78219, US",San Antonio ,1999,4,3,"dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6814485b48edd8f486dffb3f
"3914 Colemans Run, Converse, TX, 78109, US",Converse,1895,4,2,"dishwasher, microwave, fridge, parking, pets",https://mynd.rhenti.com/#/property/681a3344972ca18958a69d6d
"324 Lebanon St, San Antonio, TX, 78223, US",San Antonio,1649,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/681bd8b538c295f38ad0fe10
"4207 Asher Alley, Saint Hedwig, TX, 78152, US",Saint Hedwig,1549,3,2,"dishwasher, microwave, fridge, parking, pets",https://mynd.rhenti.com/#/property/681e0cb021da244dc634a44b
"7502 Josephs Way, Converse, TX, 78109, US",Converse,1699,3,2,"dishwasher, microwave, fridge, parking, pets",https://mynd.rhenti.com/#/property/681ef4211b07f62947c79ce4
"2413 Corinthus Bend, San Antonio, TX, 78245, US",San Antonio,2095,3,2,"hot_tub, pool, dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6830f0d92124cacd4dfa9ec2
"1234 Shadwell Dr Unit 101, San Antonio, TX, 78228, US",San Antonio,1595,3,2,pets,https://mynd.rhenti.com/#/property/683636a812650819df2a40e5
"12912 Cicely Court, Saint Hedwig, TX, 78152, US",Saint Hedwig,1849,4,2,"dishwasher, microwave, fridge, parking, pets",https://mynd.rhenti.com/#/property/683787e2b3f57f88c1375b1c
"6539 Estes Flats, San Antonio, TX, 78242, US",San Antonio,1595,2,2,"dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/683f54de9aa5c561e0e088ee
"6327 Sycamore Run, San Antonio, TX, 78219, US",San Antonio,2250,4,2,"dishwasher, microwave, fridge, air_conditioner, parking",https://mynd.rhenti.com/#/property/6849fc8f76726955186d530e
"2330 34th Ave N, Texas City, TX, 77590, US",Texas City,1575,3,2,"dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/65f44dd895d5f582755b1efe
"5403 Decatur St, Orlando, FL, 32807, US",Orlando,2595,3,2,"dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/675a09b0b343e67f9ceaabd2
"815 Firerock Ln, Debary, FL, 32713, US",Debary,2175,3,2,"pool, dishwasher, microwave, fridge, balcony, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/67fab155e52512e9a3017c31
"220 Sandhill Crane Run, Orlando, FL, 32828, US",Orlando,2449,3,2,"dishwasher, microwave, fridge, parking, pets",https://mynd.rhenti.com/#/property/6807e4c92a45d45e1ee1c949
"2724 Breezy Meadow Rd, Apopka, FL, 32712, US",Apopka,2495,3,2,"dishwasher, microwave, fridge, parking, pets",https://mynd.rhenti.com/#/property/6809478c1d2f42876ff19b87
"6041 Spring Creek Ct, Mount Dora, FL, 32757, US",Mount Dora,2225,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/68155cbcb5ec586be3f774bc
"12137 Pilot Ct, Orlando, FL, 32828, US",Orlando,2245,3,2,"fridge, pets",https://mynd.rhenti.com/#/property/683b43d01c200d2afe94c4e2
"10547 Cherry Oak Cir, Orlando, FL, 32817, US",Orlando,2525,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6842f4c507792c9eb6bec74c
"9023 Mountain Field Dr, San Antonio, TX, 78240, US",San Antonio,1945,4,2,"dishwasher, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6601f583856445002e4d0d54
"24211 Invitation Oak, San Antonio, TX, 78261, US",San Antonio,1950,3,2,"dishwasher, ensuite_washer, ensuite_dryer, microwave, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/66107489a2fa7a002e61001f
"6802 Neston Dr, San Antonio, TX, 78239, US",San Antonio,1425,3,2,"fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/68092b86f30a4c1fff868b6e
"14514 Tioga Bend, Helotes, TX, 78023, US",Helotes,2895,5,3,"pool, dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/680fe19d9b3edcc58e044ce6
"9627 Bricewood Oak, San Antonio, TX, 78254, US",San Antonio,2115,4,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/680fe1b79b3edcc58e045686
"2802 Redrock Trl, San Antonio, TX, 78259, US",San Antonio,2395,3,2,"dishwasher, microwave, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/68113b0b8bf4162f52a0b381
"9405 Apple Ridge Lane, San Antonio, TX, 78239, US",San Antonio,1625,3,2,"dishwasher, microwave, fridge, parking, pets",https://mynd.rhenti.com/#/property/681a4eb3b4b2d89b0f35341c
"7407 Longing Trl, San Antonio, TX, 78244, US",San Antonio,1795,3,2,"dishwasher, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/682c8b72c379db1ba4be7dd2
"28811 Pfeiffers Gate, Boerne, TX, 78015, US",Boerne,3595,4,3,"dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/682cdf8c952856db9eec7cbf
"210 Savage Street, New Braunfels, TX, 78130, US",New Braunfels,1845,3,2,"dishwasher, microwave, fridge, parking, pets",https://mynd.rhenti.com/#/property/683787f2b3f57f88c1375b5a
"217 Vizcaya, Boerne, TX, 78006, US",Boerne,4200,4,3,"pool, dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/68473dfa3a9247067d519968
"18624 Great Falls Dr, Manor, TX, 78653, US",Manor,2000,3,2,"dishwasher, ensuite_washer, ensuite_dryer, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/65b4037c98707c00f603d48d
"10701 Daryl Cove Unit B, Austin, TX, 78758, US",Austin,1299,2,1,"dishwasher, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/65b40a3298707c00f603d6a6
"18729 Leigh Ln, Pflugerville, TX, 78660, US",Pflugerville,2245,3,2,"hot_tub, pool, dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/65b4371398707c00f603e4a0
"1010 N Meadows Dr Unit D, Austin, TX, 78758, US",Austin,1075,2,1,"dishwasher, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/65b4492e98707c00f603ea75
"3801 Soft Shore Ln, Pflugerville, TX, 78660, US",Pflugerville,2395,4,3,"dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking",https://mynd.rhenti.com/#/property/65f9cbede9fdbd002e3ab87c
"8709 Verona Trail, Austin, TX, 78749, US",Austin,2645,3,2,"dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/680fe0ef9b3edcc58e041c61
"2880 Donnell Dr #1502, Round Rock , TX, 78664, US",Round Rock ,1945,3,2,"dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking",https://mynd.rhenti.com/#/property/6815445d996245ed7af0b877
"9613 Solana Vista Loop #A, Austin, TX, 78750, US",Austin,2995,3,2,"dishwasher, microwave, fridge, air_conditioner, balcony, parking, pets",https://mynd.rhenti.com/#/property/6825da0c78cf75b25f0f677b
"916 Cinnamon Teal, Seguin, TX, 78155, US",Seguin,1745,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6825dbc178cf75b25f0f854d
"2100 Iron Rail Ter, Round Rock, TX, 78664, US",Round Rock,2545,4,3,"dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/682f4ae2d11df8591048d7d9
"8603 Mc Kamy Dr, Austin, TX, 78744, US",Austin,2445,3,2,"dishwasher, microwave, parking, pets",https://mynd.rhenti.com/#/property/68310c433f2cca14ccf619e4
"160 Heather Glen Way, San Marcos, TX, 78666, US",San Marcos,2225,5,3,"dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/68322565f294b5f7fe982cef
"12708 Robert Taft Street, Manor, TX, 78653, US",Manor,2145,3,2,"dishwasher, microwave, fridge, parking, pets",https://mynd.rhenti.com/#/property/6836369412650819df2a3d54
"1604 Parker Ln Unit A, Austin, TX, 78741, US",Austin,1425,1,1,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6836524cc0272cbb36255a87
"13101 John Calhoun Drive, Manor, TX, 78653, US",Manor,2245,3,2,"dishwasher, microwave, fridge, parking, pets",https://mynd.rhenti.com/#/property/6838a110b91c5079dfd9f63f
"1603 Rutland Dr Unit A, Austin, TX, 78758, US",Austin,1745,2,2,"dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6848ab87149d2e76134626f3
"5709 Pleasanton Pkwy, Pflugerville, TX, 78660, US",Pflugerville,2295,3,2,"dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking",https://mynd.rhenti.com/#/property/6849c4384ee192612b813e2a
"26806 Cenzontle Dr, Katy, TX, 77493, US",Katy,2115,4,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/65b40f0f98707c00f603d80f
"1016 Lacebark Pine Lane, Brookshire, TX, 77423, US",Brookshire,1895,3,2,"dishwasher, microwave, fridge, parking, pets",https://mynd.rhenti.com/#/property/66ec9fd951dc82002e6331b6
"3210 Sumac Dr, Katy, TX, 77494, US",Katy,2049,3,2,"dishwasher, microwave, fridge, air_conditioner, pets",https://mynd.rhenti.com/#/property/67f00bb3e0b4e7f17470450c
"3707 Lauderwood Ln, Katy, TX, 77449, US",Katy,2149,3,2,"dishwasher, microwave, fridge, air_conditioner, pets",https://mynd.rhenti.com/#/property/68011a2c55da038a9c605c75
"6607 Escondido Dr, Houston, TX, 77083, US",Houston,1975,4,2,"pool, fridge, air_conditioner, pets",https://mynd.rhenti.com/#/property/681a3271972ca18958a63944
"7102 Cypress Prairie Dr, Cypress, TX, 77433, US",Cypress,1975,3,2,"pool, dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6825d81478cf75b25f0f2d1e
"16859 Mammoth Springs Dr, Houston, TX, 77095-5556, US",Houston,1800,2,2,"dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/68279a01dc2b3825bdfb6596
"7711 Summer Shore Dr, Rosenberg, TX, 77469, US",Rosenberg,2700,4,3,"pool, dishwasher, ensuite_washer, ensuite_dryer, microwave, air_conditioner, parking",https://mynd.rhenti.com/#/property/682fbb433f2cca14ccee0594
"24819 Alberti Sonata Dr, Katy, TX, 77493, US",Katy,2549,4,2,"hot_tub, pool, dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6830d4b682dbb37b12d442d5
"1530 Daffodil Rd, Missouri City, TX, 77489, US",Missouri City,2195,4,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/68376becdf485b2e5220f8c4
"5407 Cross Valley Dr, Houston, TX, 77066, US",Houston,1935,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6837bfba9e7726713e84e0cc
"15403 Hickory Dale St, Cypress, TX, 77429, US",Cypress,2085,3,2,"pool, fridge, air_conditioner, pets",https://mynd.rhenti.com/#/property/6848ab1e149d2e761345c090
"19026 Owen Oak Dr, Humble, TX, 77346, US",Humble,2395,4,3,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/65f9ca8ce9fdbd002e3ab5d4
"15218 Wickbriar Dr, houston, TX, 77053, US",houston,1425,2,1,"ensuite_washer, ensuite_dryer, fridge, air_conditioner, parking, pets, laundry_facilities",https://mynd.rhenti.com/#/property/65f9d343e9fdbd002e3ac5d1
"2705 Laurel Creek Way, Pearland, TX, 77581, US",Pearland,1975,3,2,"dishwasher, microwave, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/66170c896e68e2002e149eb0
"2046 Tuam St, Houston, TX, 77004-1349, US",Houston,2195,3,3,"dishwasher, microwave, fridge, balcony, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/662bd0474d25bf002ead9801
"1306 Silverleaf Dr, Friendswood, TX, 77546, US",Friendswood,3400,4,3,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/663f09ab7005ad002eaad825
"104 Lake Point Ct, League City, TX, 77573, US",League City,2579,4,2,"dishwasher, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/67db3e78851e698a7649344d
"1304 Dart St Apt D, Houston, TX, 77007-6243, US",Houston,2775,3,3,"dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, balcony, parking, pets",https://mynd.rhenti.com/#/property/67eeccbc8310e8ed8f66bdac
"5343 Kiam St, Houston, TX, 77007-1216, US",Houston,3095,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/67f6b7662524697383273127
"4334 Egret Dr, Seabrook, TX, 77586, US",Seabrook,2475,4,2,"dishwasher, microwave, fridge, air_conditioner, pets",https://mynd.rhenti.com/#/property/6813c00b4c0f921d35cd8810
"1304 Dart St Apt D, Houston, TX, 77007-6243, US",Houston,2645,3,3,"dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, balcony, parking, pets",https://mynd.rhenti.com/#/property/6827b5923a046fb27c4b6cff
"8418 Laura Koppe Rd, Houston, TX, 77028, US",Houston,1845,4,2,"dishwasher, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6830eff52124cacd4df9ff96
"10507 Scenic Cove Ct, Humble, TX, 77396, US",Humble,2349,4,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/684381ad767269551853b795
"2703 Skyview Glen Ct, Houston, TX, 77047-6821, US",Houston,1925,3,2,"dishwasher, ensuite_washer, ensuite_dryer, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/68488f2cd722d36f51353f6d
"8705 Bryam St Unit 404, Houston, TX, 77061, US",Houston,1875,2,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6849c4e94ee192612b81cd65
"23626 Escardilla Dr, Hockley, TX, 77447, US",Hockley,2399,4,3,"pool, dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/66eb69a2938b2b002e73c82a
"21002 Twining Rose Lane, Tomball, TX, 77377, US",Tomball,1999,4,2,"dishwasher, microwave, fridge, parking, pets",https://mynd.rhenti.com/#/property/67d3399d2c7e5e9064860aff
"130 S Walden Elms Cir, Spring, TX, 77382, US",Spring,1745,3,2,"dishwasher, microwave, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/680013c1ad7dbdd9d505f748
"4323 S Amber Ruse Ct, Conroe, TX, 77304, US",Conroe,1899,4,3,"dishwasher, microwave, fridge, air_conditioner, pets",https://mynd.rhenti.com/#/property/68262c37d244bdcca2dee3a9
"22514 Willow Branch Ln, Tomball, TX, 77375, US",Tomball,2465,5,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets, laundry_facilities",https://mynd.rhenti.com/#/property/6838bd6b9b602a09c4aecd22
"11523 Dahlia Dale Dr, Tomball, TX, 77375, US",Tomball,2015,3,2,"dishwasher, microwave, fridge, air_conditioner, pets",https://mynd.rhenti.com/#/property/684b4dfb060c3f93b38a3318
"9729 Cold Creek Dr, Conroe, TX, 77306, US",Conroe,2180,4,2,"air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/65f9d2d5e9fdbd002e3ac4c2
"22203 Barrygate Ct, Spring, TX, 77373, US",Spring,1995,5,2,"dishwasher, fridge, air_conditioner, parking, pets, laundry_facilities",https://mynd.rhenti.com/#/property/661414c7f4e046002e4565b3
"2614 Ski Lodge Dr, Spring, TX, 77373, US",Spring,2049,4,2,"dishwasher, microwave, fridge, air_conditioner, pets",https://mynd.rhenti.com/#/property/68096a6510cf6adf337add87
"21635 Falvelsunset Ct, Spring, TX, 77388, US",Spring,1875,3,2,"dishwasher, microwave, fridge, air_conditioner, pets",https://mynd.rhenti.com/#/property/681543b2996245ed7af08091
"3002 Delancey Bend Way, Porter, TX, 77365, US",Porter,1849,3,2,"pool, dishwasher, ensuite_washer, ensuite_dryer, microwave, fridge, parking, pets",https://mynd.rhenti.com/#/property/6825d7dc78cf75b25f0f2777
"5846 Rosehill Forest Ln, Porter, TX, 77365, US",Porter,1899,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/682b7242dc2b3825bd153483
"983 Oak Lynn Dr, Willis, TX, 77378, US",Willis,1699,3,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets, laundry_facilities",https://mynd.rhenti.com/#/property/682f4a7cd11df8591048a110
"1003 Summer Wood Blvd, Conroe, TX, 77303, US",Conroe,2375,4,2,"dishwasher, microwave, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/68376b9bdf485b2e5220a2f8
"13613 Bighorn Trl, Willis, TX, 77378, US",Willis,1770,3,2,"dishwasher, fridge, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/68449a88767269551858ee63
"1003 Addison Park Ln, Spring, TX, 77373-8270, US",Spring,2075,3,2,"pool, dishwasher, microwave, air_conditioner, parking, pets",https://mynd.rhenti.com/#/property/6849a860be1effe9f97d67bb
